Table S4  Raw inoculation experiment data - all surviving plants. Nitrogen data from Regus et al 2014. Local chromosomal (CHR) and symbiosis island (SI) abundance is represented as a proportion of the total nodulating isolates in a given population. Full genome abundance is not a proportion.,,,,,,,,,,,,,,,
Plant #,Host Line,Strain,Population,N history,Total N (%),Mineral N (ppm),Block,Shoots mass (g),Roots mass (g),Relative Growth,Total nodules,Mean individual  nodule biomass (mg),CHR local abundance,SI local abunance,full genome local abundance
659,UnL: Anz13.04,138,GRI,HIGH,0.04,6.7,4,0.119,0.022,488,65,0.0969,0.014705882,0.25,1
836,A. heermannii,138,GRI,HIGH,0.04,6.7,4,0.1853,0.0708,1028,92,0.112,0.014705882,0.25,1
195,Gri01.01,138,GRI,HIGH,0.04,6.7,5,0.1161,0.0135,1356,31,0.2129,0.014705882,0.25,1
537,UnH: Cla12.04,138,GRI,HIGH,0.04,6.7,5,0.144,0.0206,2948,51,0.0961,0.014705882,0.25,1
881,A. heermannii,138,GRI,HIGH,0.04,6.7,5,0.1523,0.0576,1047,42,0.1952,0.014705882,0.25,1
176,Gri01.01,139,GRI,HIGH,0.04,6.7,1,0.0965,0.0175,459,29,0.1517,0.014705882,0.25,1
201,Gri01.13,139,GRI,HIGH,0.04,6.7,1,0.0982,0.0139,390,27,0.1556,0.014705882,0.25,1
381,UnH: Cla12.04,139,GRI,HIGH,0.04,6.7,1,0.1054,0.0228,1076,49,0.1755,0.014705882,0.25,1
557,UnL: Anz13.04,139,GRI,HIGH,0.04,6.7,1,0.1036,0.0186,543,42,0.1857,0.014705882,0.25,1
746,A. heermannii,139,GRI,HIGH,0.04,6.7,1,0.1084,0.0454,523,31,0.2806,0.014705882,0.25,1
178,Gri01.01,139,GRI,HIGH,0.04,6.7,2,0.0908,0.0234,426,30,0.2167,0.014705882,0.25,1
209,Gri01.13,139,GRI,HIGH,0.04,6.7,2,0.052,0.0093,180,33,0.1121,0.014705882,0.25,1
404,UnH: Cla12.04,139,GRI,HIGH,0.04,6.7,2,0.0636,0.0213,1079,74,0.1,0.014705882,0.25,1
588,UnL: Anz13.04,139,GRI,HIGH,0.04,6.7,2,0.0717,0.0209,301,42,0.2,0.014705882,0.25,1
